item_id,name,sale_price,short_description,long_description,images,stock,upc
27434075,Miabella 3-4/5 Carat T.G.W. CZ Sterling Silver Engagement Ring,36.99,"The gift that means ""forever,"" this Round-Cut CZ Engagement Ring is beautifully crafted in lustrous sterling silver. At its center sparkles a round-cut, prong-set CZ (8mm) and along its sides shimmer twin rows of round, prong-set CZ (1.2mm) for a total of 20 gemstone accents.","The gift that means ""forever,"" this Round-Cut CZ Engagement Ring is beautifully crafted in lustrous sterling silver. At its center sparkles a round-cut, prong-set CZ (8mm) and along its sides shimmer twin rows of round, prong-set CZ (1.2mm) for a total of 20 gemstone accents.","['https://i5.walmartimages.com/asr/cb771275-3548-4021-9085-4527fa21058d_1.dadbcca445d55c604200a64fc9eb56bc.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/d000859b-07c3-4c52-a7d8-90403168a788_1.7e99beeb0d28811a2ddaecdd25fd90dd.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/f1ed4e28-ab8d-4ff4-bfce-7fd2aff118e4_1.d4da5104d16dc542c985abf766da9ec8.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/4db88bd0-9917-410c-af05-597d661f83f3_1.89b6dd963a7616f7050b2750cdfa3fac.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/1c10dc98-ecab-4c9c-8d0a-6029d7cb9fdf_1.ba7b18aa21cfb37d8d86d26f01109f71.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/57c2ee4b-5a1c-433a-a66f-4701af1d821d_1.ea4fdc0be616a27c57e4d4c2c5496f85.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/ed94f128-efea-471a-b830-8cf458b0ec84_1.e16a7694a68e529e84fa6b1d754472de.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/880d0787-af4d-42e0-8428-6adc2253210e_1.ebe3de10f205a20279cacbcd46f9975f.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF']",Available,070913728056
27434068,Miabella 5-1/6 Carat T.G.W. Square and Round-Cut Cubic Zirconia Sterling Silver Three Stone Engagement Ring,49.99,"This Square- and Round-Cut CZ Three-Stone Engagement Ring is the perfect way to tell her you love her. The sterling silver engagement ring showcases a center square-cut, prong-set CZ (7mm) with a square-cut, prong-set CZ (4mm) at each side. The engagement ring's elegant band is further adorned with round-cut CZ accents.","This Square- and Round-Cut CZ Three-Stone Engagement Ring is the perfect way to tell her you love her. The sterling silver engagement ring showcases a center square-cut, prong-set CZ (7mm) with a square-cut, prong-set CZ (4mm) at each side. The engagement ring's elegant band is further adorned with round-cut CZ accents.","['https://i5.walmartimages.com/asr/3b3bfcc8-61b5-4789-8f9c-cf912f874c54_1.dc3dc57c9436fcec38373312e6fa1863.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/b90e513b-e9f9-4b6f-adde-3350fe796e8a_1.eaf4f39eaee3e6668244d94ab7677e49.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/708e1ab5-9c05-4e2b-ba9e-2480c93bf995_1.8922eecac65b4c57cbd131f8df3c3946.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF']",Available,070913865058
23878978,Miabella 1/4 Carat T.G.W. Created White Sapphire and 1/10 Carat T.W. Sterling Silver Infinity Engagement Ring,64.99,"Delicate beauty makes this round-cut Created White Sapphire and Diamond Accent Engagement Ring a striking, yet sincere declaration of your love. Crafted in sterling silver with an elegant cross-over band, the ring showcases a brilliant round-cut, prong-set created white sapphire (3.5mm) at its center. Twenty round-cut, prong-set diamonds (G-H, I2-I3) adorn the band, lending an exquisite sparkle.","Delicate beauty makes this round-cut Created White Sapphire and Diamond Accent Engagement Ring a striking, yet sincere declaration of your love. Crafted in sterling silver with an elegant cross-over band, the ring showcases a brilliant round-cut, prong-set created white sapphire (3.5mm) at its center. Twenty round-cut, prong-set diamonds (G-H, I2-I3) adorn the band, lending an exquisite sparkle.","['https://i5.walmartimages.com/asr/2a8b10d3-0f27-4144-8f24-e4d145e89e94_1.f7edea7c3ab32834a9da42b168aeccff.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/781d87d3-572b-4675-bb77-4130145dc8e0_1.a2c09a82784d6927d8c54c9f34791a9a.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/938ff5ba-b6b8-4a3a-94ce-45a1cac38536_1.7e99beeb0d28811a2ddaecdd25fd90dd.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/427d6c50-c4e7-4852-a531-99cd00a26d01_1.ae2c6c23fcb6e508b5f9aac0e928b7ea.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF']",Available,070851279054
21644536,Miabella 1-7/8 Carat T.G.W. White Sapphire Sterling Silver Filigree Engagement Ring,55.0,"Say ""I love you"" with this unique and magnificent engagement ring. A vintage inspired design with round-cut, lab-created white sapphire gemstones makes this ring the perfect one. The unique vintage design is sure to attract compliments and turn heads!","Say ""I love you"" with this unique and magnificent engagement ring. A vintage inspired design with round-cut, lab-created white sapphire gemstones makes this ring the perfect one. The unique vintage design is sure to attract compliments and turn heads!","['https://i5.walmartimages.com/asr/c3a61c8e-8d05-4716-ba2a-a2cbd865cd6e_1.f8f1f21d4166c0a9b20b1d8a264eb21f.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/97ad1395-30ce-49d5-94de-0b390ba56ab6_1.2ea70ce81bccb98d3d558422c5fd7b34.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/282557dc-22fc-4c21-8ec3-95c239172aa5_1.3ac69c76c22b60a864aa33118404ea6f.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/ae599a33-5c13-4d5a-8bb5-a3eb9d3b4b56_1.c88eace22d37c29956c0d7ccbd455edc.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/ec884f63-6a3c-440c-8332-b705021545ab_1.7e99beeb0d28811a2ddaecdd25fd90dd.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF']",Available,070663902058
40487290,Miabella 1/5 Carat T.W. Diamond Sterling Silver Double Halo Split Shank Engagement Ring,184.0,"Show her your love and devotion and say ""I love you"" with this exquisite Miabella Double Halo Engagement Ring. It is finely crafted in sturdy and durable sterling silver and features sparkling diamonds. This 1/5 carat T.W. diamond engagement ring showcases a double-band look crowned with a double halo that is studded with a total of 35 round-cut, prong and buttercup-set diamonds (J-K, I3). It features a detailed and feminine design and the double band look gives this ring an elegant, modern allure. This lustrous sterling silver engagement ring is specially designed to fit snugly against a wedding ring of her choice.","Show her your love and devotion and say ""I love you"" with this exquisite Miabella Double Halo Engagement Ring. It is finely crafted in sturdy and durable sterling silver and features sparkling diamonds. This 1/5 carat T.W. diamond engagement ring showcases a double-band look crowned with a double halo that is studded with a total of 35 round-cut, prong and buttercup-set diamonds (J-K, I3). It features a detailed and feminine design and the double band look gives this ring an elegant, modern allure. This lustrous sterling silver engagement ring is specially designed to fit snugly against a wedding ring of her choice.","['https://i5.walmartimages.com/asr/9310ec57-64a5-4e26-b3b4-0601797686e1_2.db93f88ae1ccc05b4035cfe1cf1def2a.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/9e7b64ac-cfea-4750-a06f-003c37cb8f20_1.f21e9398f3540198ef684bfa8c5640b0.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/d6a27669-9496-4f17-bdb2-1d8504a1c6a0_1.cb660f5f087ac435b2aa7fde89acc8be.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/23bbd92e-892f-4072-b9b3-1b6d23a32c73_1.4b9db108fb2e3cee33790ca34c634dfe.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/f4af1d17-0749-4bc3-b443-6d6e4a0d2397_1.055f7df003df5423cc337bca863c6684.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/448e5aa8-0a80-42e1-b668-6d99fdd87b72_1.2e153a545fc85d1da60e5f02bc61b8ef.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/a4774d78-f8d1-41b9-ace2-2c26bb310cef_2.200de0ea291c129189476e31fcba02cd.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/4b318741-fcbd-4d90-8872-d9496601e0a7_1.daed00766d4cae84cd6b7dfccfb71cc9.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/740868d5-9762-42dd-9ab4-585b2581806c_1.7e99beeb0d28811a2ddaecdd25fd90dd.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF']",Available,750005459746
20656732,Miabella 1/4 Carat T.G.W. Created White Sapphire and Diamond-Accent Sterling Silver Heart Promise Ring,53.99,"<p>Take her breath away as you present that special someone with this 1/4 Carat T.G.W. Diamond-Accent Engagement Ring. The double crossover shank adds a touch of simple sophistication to this sterling silver engagement ring, while the heart-shaped white sapphire dazzles. This white sapphire engagement ring was lab-created and is set in a three-prong setting surrounded by five genuine diamond accents on each side for added sparkle.</p>","<p>Take her breath away as you present that special someone with this 1/4 Carat T.G.W. Diamond-Accent Engagement Ring. The double crossover shank adds a touch of simple sophistication to this sterling silver engagement ring, while the heart-shaped white sapphire dazzles. This white sapphire engagement ring was lab-created and is set in a three-prong setting surrounded by five genuine diamond accents on each side for added sparkle.</p>","['https://i5.walmartimages.com/asr/9c588754-e7fb-4acc-b50a-18b0233e0722_1.c4f5139dd9f5f2b27bb322b1f8908b49.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/9cc3a516-ea3d-4473-8e4e-9868f84bf5ef_1.f70a98f3da69237625f791a570b18030.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/cfce6fd1-ba41-458e-9fd1-622230608864_1.7e99beeb0d28811a2ddaecdd25fd90dd.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/6929082a-eff7-441f-b598-054ce2e23bc5_1.df0a35585e842432afec36741ca909b2.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/67c80652-4ee7-4258-bee0-3cb524b0fa9e_1.a08268703f63e48bfebeb77dfd4c23dc.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/bfe5f83c-c749-4f7d-85bb-87ef094b3749_1.e146d09ba66784d7b928a001d3c8a3c2.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF']",Available,070539252072
38437382,Miabella 1/5 Carat T.W. Diamond Sterling Silver Halo Bridal Set,185.99,"Express your commitment to a future together with this exquisite sterling silver Miabella Diamond Bridal Set. The engagement ring sparkles with a round-cut, prong-set white diamond at center and 16 round-cut, pave-set white diamonds with four round-cut, prong-set white diamonds along the band. The companion wedding band is a perfect match with five icy round-cut, prong-set white diamonds as well.","Express your commitment to a future together with this exquisite sterling silver Miabella Diamond Bridal Set. The engagement ring sparkles with a round-cut, prong-set white diamond at center and 16 round-cut, pave-set white diamonds with four round-cut, prong-set white diamonds along the band. The companion wedding band is a perfect match with five icy round-cut, prong-set white diamonds as well.","['https://i5.walmartimages.com/asr/dba593bc-99aa-454f-9601-73ef3312ae1c_1.8fdb417b141572e5d27d76e3964f359c.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/edae9df6-89be-48cb-8902-41ec11c9118a_1.62b1691acf66ce2086621c00ca66aa31.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/460e7c7f-f7ad-46fb-a417-5c325f2b6cad_1.d5fe05caefad5e06fb08a775d10557ec.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/f716797c-63e9-485d-988f-a9f5394b8390_1.044303653c8dcaeef707d7fc445f0458.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/ed2c9ba1-583f-4a01-8f54-a405ccc5fe1a_1.916c9780a71f6ab65625c359c90d7b7c.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/942f3ddb-3167-46eb-b040-cdadae4e6507_1.17ccf07fd00067141ac4308c8b4d375c.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/dc6c9c15-bda9-46f6-85e1-9714b86b65bd_1.3052e4742c00582982c6ef1ccc81b564.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/6dac5a10-51c6-41ef-8f8c-f7145d91c053_1.f59af20459e2e847aa4487ec5db558a4.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/dc7826a2-f03a-49b6-929f-9570d9796066_1.f520d5176f4e2cb4366d2b057f6611e1.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/9f9ed24e-d364-4e7c-97ed-8c7000ef4103_1.8ba7b205c7a88ed8c7294f2bf5c359b4.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF']",Available,750004056816
24359844,Miabella 3 Carat T.G.W. Cushion and Round-Cut Cubic Zirconia Sterling Silver Double-Halo Engagement Ring,47.99,"This beautiful CZ Sterling Silver Double-Halo Engagement Ring is the perfect choice for your one and only. Prong set with a sparkling cushion-cut, center CZ (6mm) in a double frame of 44 round, prong-set CZ accents, the ring features split-band styling further prong set with a total of 28 round CZ.","This beautiful CZ Sterling Silver Double-Halo Engagement Ring is the perfect choice for your one and only. Prong set with a sparkling cushion-cut, center CZ (6mm) in a double frame of 44 round, prong-set CZ accents, the ring features split-band styling further prong set with a total of 28 round CZ.","['https://i5.walmartimages.com/asr/af3309f7-4dc3-488d-8575-d8f1edea5c1d_1.7a7ccaebbd444d5945fe06914ec662db.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/4707ae66-767d-4f2e-a5b3-bf0bd2a71c41_1.c9a3f53c2e0371f08b774945cdfcd56e.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/3619dbe3-81fd-446d-988b-88ce62c4f4f3_1.cc6b629d12327e1e5499ad7bfa63bfd1.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF']",Available,070888651052
31962053,Miabella 1-1/3 Carat T.G.W. Created White Sapphire and Diamond-Accent 10kt White Gold Three Stone Engagement Ring,179.99,"Watch her eyes light up when you give her this stunning Created White Sapphire and Diamond Accent Three-Stone Engagement Ring. Crafted in lustrous white gold, the engagement ring is prong set with round created white sapphires (6mm and 3mm) at the center and accented with 10 round, pave-set diamonds (G-H, I2-I3) along the band.","Watch her eyes light up when you give her this stunning Created White Sapphire and Diamond Accent Three-Stone Engagement Ring. Crafted in lustrous white gold, the engagement ring is prong set with round created white sapphires (6mm and 3mm) at the center and accented with 10 round, pave-set diamonds (G-H, I2-I3) along the band.","['https://i5.walmartimages.com/asr/03160ad7-d678-4524-b7a2-2cc78e9f88d2_1.cb63e10b4292071e18cbd8dc35ec1765.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/3340569c-85f8-426b-be8c-8e03b5220405_1.63fb53ee5d6049527db786d6e77ff621.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/c5a8bbfc-11d2-4342-a914-4588fa423cc0_1.62b1691acf66ce2086621c00ca66aa31.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/a0104a30-388a-4ea5-a67e-90150cf19ebf_1.45466336120674d1412727a82a583cec.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/b503728b-b721-4217-8d26-020fa23ddf46_1.5e32d90afe339f22714f449bae3a68aa.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/42f494a2-c003-4dab-864b-6f826edd1f18_1.7e99beeb0d28811a2ddaecdd25fd90dd.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF']",Available,070936673050
50171221,Miabella 4-1/10 Carat T.G.W. CZ Sterling Silver Halo Bridal Set,54.99,"Surprise her with this beautiful Miabella CZ Halo Bridal Set in lustrous sterling silver. The engagement ring features an emerald-cut (seven-millimeter by five-millimeter) CZ in the center and round-cut (1.25mm) CZ gemstones along the sides. The companion wedding band is a perfect match, shimmering with round-cut (1.25mm) CZ gemstones as well. These rings are enhanced with a high-polish finish.Miabella Jewelry: The perfect piece of jewelry is special and stunning, accompanying you for life. With over 30 years of experience in creating fine jewelry, Miabella has what you're looking for to mark a special occasion with something that sparkles. Miabella — Harmony in Jewelry. Life is a symphony, celebrate it!","Surprise her with this beautiful Miabella CZ Halo Bridal Set in lustrous sterling silver. The engagement ring features an emerald-cut (seven-millimeter by five-millimeter) CZ in the center and round-cut (1.25mm) CZ gemstones along the sides. The companion wedding band is a perfect match, shimmering with round-cut (1.25mm) CZ gemstones as well. These rings are enhanced with a high-polish finish.Miabella Jewelry: The perfect piece of jewelry is special and stunning, accompanying you for life. With over 30 years of experience in creating fine jewelry, Miabella has what you're looking for to mark a special occasion with something that sparkles. Miabella — Harmony in Jewelry. Life is a symphony, celebrate it!","['https://i5.walmartimages.com/asr/cf580e60-977b-46cc-92ac-521466307fc5_1.1377a7a089a9c2fce27d9c0681926aeb.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/70f3cc37-447b-43cf-b33a-2194e4facea6_1.b260bd7f9af3cf9c5d7a7deb7862f122.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/c53e4149-d2c9-4ec4-acc2-a25f96a46426_1.b6a9250a0dd3219599d42a7e89520f94.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/1dae073d-76a2-4b67-8206-4c29a2f3c630_1.2a5d5a6552f6c96ecc7f30634efafd72.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/daa578ac-8526-40d8-831d-4a3ebb0360dc_1.d9518c6603514be2ffb7e84b67bb30ae.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/594723b1-8b9e-4e69-9c2e-3c71e0dfc769_1.7e99beeb0d28811a2ddaecdd25fd90dd.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF']",Available,
